lncRNA	disease	label
H19	DOID:409	0
H19	DOID:13922	0
H19	DOID:8947	0
H19	DOID:3973	0
H19	DOID:0050902	1
H19	DOID:4362	1
H19	DOID:4085	1
H19	DOID:5082	0
H19	DOID:11612	0
H19	DOID:10763	0
H19	DOID:418	0
H19	DOID:3371	0
H19	DOID:0080522	1
H19	DOID:4947	1
H19	DOID:0060250	0
H19	DOID:3070	1
H19	DOID:5517	0
H19	DOID:3247	1
H19	DOID:13001	0
H19	DOID:255	0
H19	DOID:7575	0
H19	DOID:8577	1
H19	DOID:3328	0
H19	DOID:3594	1
H19	DOID:0080638	0
H19	DOID:3717	1
H19	DOID:6432	0
H19	DOID:4450	1
H19	DOID:5844	0
H19	DOID:1936	1
H19	DOID:1596	0
H19	DOID:4195	0
H19	DOID:1932	0
H19	DOID:1240	0
H19	DOID:3565	1
H19	DOID:0002116	0
H19	DOID:9719	0
H19	DOID:1107	0
H19	DOID:824	0
H19	DOID:234	0
H19	DOID:9408	0
H19	DOID:11476	0
H19	DOID:7693	1
H19	DOID:2998	1
H19	DOID:332	0
H19	DOID:1380	1
H19	DOID:3302	0
H19	DOID:5041	1
H19	DOID:1319	0
H19	DOID:3347	1
H19	DOID:4905	0
H19	DOID:12894	0
H19	DOID:6039	0
H19	DOID:0060058	0
H19	DOID:3907	0
H19	DOID:3068	1
H19	DOID:2101	0
H19	DOID:10941	0
H19	DOID:9255	0
H19	DOID:11830	0
H19	DOID:8692	0
H19	DOID:9351	0
H19	DOID:1793	1
H19	DOID:5223	1
H19	DOID:331	1
H19	DOID:12205	0
H19	DOID:768	1
H19	DOID:8893	0
H19	DOID:3571	1
H19	DOID:0060060	0
H19	DOID:4914	0
H19	DOID:90	0
H19	DOID:11054	1
H19	DOID:305	0
H19	DOID:3121	1
H19	DOID:2671	1
H19	DOID:8584	0
H19	DOID:5520	1
H19	DOID:6713	0
H19	DOID:1289	0
H19	DOID:263	0
H19	DOID:8533	0
H19	DOID:4866	0
H19	DOID:9253	0
H19	DOID:1324	1
H19	DOID:5603	1
H19	DOID:2994	1
H19	DOID:8997	1
H19	DOID:1781	1
H19	DOID:585	0
H19	DOID:3083	0
H19	DOID:3908	1
H19	DOID:10283	1
H19	DOID:784	0
H19	DOID:9256	1
H19	DOID:1115	0
H19	DOID:10534	1
H19	DOID:12930	0
H19	DOID:2394	1
H19	DOID:1540	0
H19	DOID:1785	0
H19	DOID:687	1
H19	DOID:9352	0
H19	DOID:3744	0
H19	DOID:2841	0
H19	DOID:0080208	0
ZNF295-AS1	DOID:8649	0
ZNF295-AS1	DOID:557	0
ZNF295-AS1	DOID:3355	0
ZNF295-AS1	DOID:9074	0
ZNF295-AS1	DOID:8398	0
ZNF295-AS1	DOID:11934	0
ZNF295-AS1	DOID:707	0
ZNF295-AS1	DOID:12449	0
ZNF295-AS1	DOID:4074	0
ZNF295-AS1	DOID:0050589	0
ZNF295-AS1	DOID:13641	0
ZNF295-AS1	DOID:0080001	0
ZNF295-AS1	DOID:5419	0
ZNF295-AS1	DOID:3962	0
ZNF295-AS1	DOID:1993	0
ZNF295-AS1	DOID:14250	0
ZNF295-AS1	DOID:14004	0
ZNF295-AS1	DOID:863	0
ZNF295-AS1	DOID:11983	0
ZNF295-AS1	DOID:11337	0
ZNF295-AS1	DOID:1612	0
ZNF295-AS1	DOID:7148	0
ZNF295-AS1	DOID:1996	0
ZNF295-AS1	DOID:635	0
ZNF295-AS1	DOID:2129	0
ZNF295-AS1	DOID:10591	0
ZNF295-AS1	DOID:289	0
ZNF295-AS1	DOID:3119	0
ZNF295-AS1	DOID:684	0
ZNF295-AS1	DOID:13378	0
ZNF295-AS1	DOID:1686	0
ZNF295-AS1	DOID:62	0
ZNF295-AS1	DOID:9538	0
ZNF295-AS1	DOID:114	0
ZNF295-AS1	DOID:9970	0
ZNF295-AS1	DOID:0060108	0
ZNF295-AS1	DOID:8466	0
ZNF295-AS1	DOID:4971	0
ZNF295-AS1	DOID:2378	0
ZNF295-AS1	DOID:769	0
ZNF295-AS1	DOID:1909	0
ZNF295-AS1	DOID:2870	0
ZNF295-AS1	DOID:1883	0
ZNF295-AS1	DOID:3369	0
ZNF295-AS1	DOID:2316	0
ZNF295-AS1	DOID:417	0
ZNF295-AS1	DOID:1749	0
ZNF295-AS1	DOID:9744	0
ZNF295-AS1	DOID:409	0
ZNF295-AS1	DOID:13922	0
ZNF295-AS1	DOID:8947	0
ZNF295-AS1	DOID:3973	0
ZNF295-AS1	DOID:0050902	0
ZNF295-AS1	DOID:4362	0
ZNF295-AS1	DOID:4085	0
ZNF295-AS1	DOID:5082	0
ZNF295-AS1	DOID:11612	0
ZNF295-AS1	DOID:10763	0
ZNF295-AS1	DOID:418	0
ZNF295-AS1	DOID:3371	0
ZNF295-AS1	DOID:0080522	0
ZNF295-AS1	DOID:4947	0
ZNF295-AS1	DOID:0060250	0
ZNF295-AS1	DOID:3070	0
ZNF295-AS1	DOID:5517	0
ZNF295-AS1	DOID:3247	0
ZNF295-AS1	DOID:13001	0
ZNF295-AS1	DOID:255	0
ZNF295-AS1	DOID:7575	0
ZNF295-AS1	DOID:8577	0
ZNF295-AS1	DOID:3328	0
ZNF295-AS1	DOID:3594	0
ZNF295-AS1	DOID:0080638	0
ZNF295-AS1	DOID:3717	0
ZNF295-AS1	DOID:6432	0
ZNF295-AS1	DOID:4450	0
ZNF295-AS1	DOID:5844	0
ZNF295-AS1	DOID:1936	0
ZNF295-AS1	DOID:1596	0
ZNF295-AS1	DOID:4195	0
ZNF295-AS1	DOID:1932	0
ZNF295-AS1	DOID:1240	0
ZNF295-AS1	DOID:3565	0
ZNF295-AS1	DOID:0002116	0
ZNF295-AS1	DOID:9719	0
ZNF295-AS1	DOID:1107	0
ZNF295-AS1	DOID:824	0
ZNF295-AS1	DOID:234	0
ZNF295-AS1	DOID:9408	0
ZNF295-AS1	DOID:11476	0
ZNF295-AS1	DOID:7693	0
ZNF295-AS1	DOID:2998	0
ZNF295-AS1	DOID:332	0
ZNF295-AS1	DOID:1380	0
ZNF295-AS1	DOID:3302	0
ZNF295-AS1	DOID:5041	0
ZNF295-AS1	DOID:1319	0
ZNF295-AS1	DOID:3347	0
ZNF295-AS1	DOID:4905	0
ZNF295-AS1	DOID:12894	0
ZNF295-AS1	DOID:6039	0
ZNF295-AS1	DOID:0060058	0
ZNF295-AS1	DOID:3907	0
ZNF295-AS1	DOID:3068	0
ZNF295-AS1	DOID:2101	0
ZNF295-AS1	DOID:10941	0
ZNF295-AS1	DOID:9255	0
ZNF295-AS1	DOID:11830	0
ZNF295-AS1	DOID:8692	0
ZNF295-AS1	DOID:9351	0
ZNF295-AS1	DOID:1793	0
ZNF295-AS1	DOID:5223	0
ZNF295-AS1	DOID:331	0
ZNF295-AS1	DOID:12205	0
ZNF295-AS1	DOID:768	0
ZNF295-AS1	DOID:8893	0
ZNF295-AS1	DOID:3571	0
ZNF295-AS1	DOID:0060060	0
ZNF295-AS1	DOID:4914	0
ZNF295-AS1	DOID:90	0
ZNF295-AS1	DOID:11054	0
ZNF295-AS1	DOID:305	0
ZNF295-AS1	DOID:3121	0
ZNF295-AS1	DOID:2671	0
ZNF295-AS1	DOID:8584	0
ZNF295-AS1	DOID:5520	0
ZNF295-AS1	DOID:6713	0
ZNF295-AS1	DOID:1289	0
ZNF295-AS1	DOID:263	0
ZNF295-AS1	DOID:8533	0
ZNF295-AS1	DOID:4866	0
ZNF295-AS1	DOID:9253	0
ZNF295-AS1	DOID:1324	0
ZNF295-AS1	DOID:5603	0
ZNF295-AS1	DOID:2994	0
ZNF295-AS1	DOID:8997	0
ZNF295-AS1	DOID:1781	0
ZNF295-AS1	DOID:585	0
ZNF295-AS1	DOID:3083	0
ZNF295-AS1	DOID:3908	0
ZNF295-AS1	DOID:10283	0
ZNF295-AS1	DOID:784	0
ZNF295-AS1	DOID:9256	0
ZNF295-AS1	DOID:1115	0
ZNF295-AS1	DOID:10534	0
ZNF295-AS1	DOID:12930	0
ZNF295-AS1	DOID:2394	0
ZNF295-AS1	DOID:1540	0
ZNF295-AS1	DOID:1785	0
ZNF295-AS1	DOID:687	0
ZNF295-AS1	DOID:9352	0
ZNF295-AS1	DOID:3744	0
ZNF295-AS1	DOID:2841	0
ZNF295-AS1	DOID:0080208	0
LINC01138	DOID:8649	0
LINC01138	DOID:557	0
LINC01138	DOID:3355	0
LINC01138	DOID:9074	0
LINC01138	DOID:8398	0
LINC01138	DOID:11934	0
LINC01138	DOID:707	0
LINC01138	DOID:12449	0
LINC01138	DOID:4074	0
LINC01138	DOID:0050589	0
LINC01138	DOID:13641	0
LINC01138	DOID:0080001	0
LINC01138	DOID:5419	0
LINC01138	DOID:3962	0
LINC01138	DOID:1993	0
LINC01138	DOID:14250	0
LINC01138	DOID:14004	0
LINC01138	DOID:863	0
LINC01138	DOID:11983	0
LINC01138	DOID:11337	0
LINC01138	DOID:1612	0
LINC01138	DOID:7148	0
LINC01138	DOID:1996	0
LINC01138	DOID:635	0
LINC01138	DOID:2129	0
LINC01138	DOID:10591	0
LINC01138	DOID:289	0
LINC01138	DOID:3119	0
LINC01138	DOID:684	1
LINC01138	DOID:13378	0
LINC01138	DOID:1686	0
LINC01138	DOID:62	0
LINC01138	DOID:9538	0
LINC01138	DOID:114	0
LINC01138	DOID:9970	0
LINC01138	DOID:0060108	0
LINC01138	DOID:8466	0
LINC01138	DOID:4971	0
LINC01138	DOID:2378	0
LINC01138	DOID:769	0
LINC01138	DOID:1909	0
LINC01138	DOID:2870	0
LINC01138	DOID:1883	0
LINC01138	DOID:3369	0
LINC01138	DOID:2316	0
LINC01138	DOID:417	0
LINC01138	DOID:1749	0
LINC01138	DOID:9744	0
LINC01138	DOID:409	0
LINC01138	DOID:13922	0
LINC01138	DOID:8947	0
LINC01138	DOID:3973	0
LINC01138	DOID:0050902	0
LINC01138	DOID:4362	0
LINC01138	DOID:4085	0
LINC01138	DOID:5082	0
LINC01138	DOID:11612	0
LINC01138	DOID:10763	0
LINC01138	DOID:418	0
LINC01138	DOID:3371	0
LINC01138	DOID:0080522	0
LINC01138	DOID:4947	0
LINC01138	DOID:0060250	0
LINC01138	DOID:3070	0
LINC01138	DOID:5517	0
LINC01138	DOID:3247	0
LINC01138	DOID:13001	0
LINC01138	DOID:255	0
LINC01138	DOID:7575	0
LINC01138	DOID:8577	0
LINC01138	DOID:3328	0
LINC01138	DOID:3594	0
LINC01138	DOID:0080638	0
LINC01138	DOID:3717	0
LINC01138	DOID:6432	0
LINC01138	DOID:4450	0
LINC01138	DOID:5844	0
LINC01138	DOID:1936	0
LINC01138	DOID:1596	0
LINC01138	DOID:4195	0
LINC01138	DOID:1932	0
LINC01138	DOID:1240	0
LINC01138	DOID:3565	0
LINC01138	DOID:0002116	0
LINC01138	DOID:9719	0
LINC01138	DOID:1107	0
LINC01138	DOID:824	0
LINC01138	DOID:234	0
LINC01138	DOID:9408	0
LINC01138	DOID:11476	0
LINC01138	DOID:7693	0
LINC01138	DOID:2998	0
LINC01138	DOID:332	0
LINC01138	DOID:1380	0
LINC01138	DOID:3302	0
LINC01138	DOID:5041	0
LINC01138	DOID:1319	0
LINC01138	DOID:3347	0
LINC01138	DOID:4905	0
LINC01138	DOID:12894	0
LINC01138	DOID:6039	0
LINC01138	DOID:0060058	0
LINC01138	DOID:3907	0
LINC01138	DOID:3068	0
LINC01138	DOID:2101	0
LINC01138	DOID:10941	0
LINC01138	DOID:9255	0
LINC01138	DOID:11830	0
LINC01138	DOID:8692	0
LINC01138	DOID:9351	0
LINC01138	DOID:1793	0
LINC01138	DOID:5223	0
LINC01138	DOID:331	0
LINC01138	DOID:12205	0
LINC01138	DOID:768	0
LINC01138	DOID:8893	0
LINC01138	DOID:3571	0
LINC01138	DOID:0060060	0
LINC01138	DOID:4914	0
LINC01138	DOID:90	0
LINC01138	DOID:11054	0
LINC01138	DOID:305	0
LINC01138	DOID:3121	0
LINC01138	DOID:2671	0
LINC01138	DOID:8584	0
LINC01138	DOID:5520	0
LINC01138	DOID:6713	0
LINC01138	DOID:1289	0
LINC01138	DOID:263	0
LINC01138	DOID:8533	0
LINC01138	DOID:4866	0
LINC01138	DOID:9253	0
LINC01138	DOID:1324	0
LINC01138	DOID:5603	0
LINC01138	DOID:2994	0
LINC01138	DOID:8997	0
LINC01138	DOID:1781	0
LINC01138	DOID:585	0
LINC01138	DOID:3083	0
LINC01138	DOID:3908	0
LINC01138	DOID:10283	1
LINC01138	DOID:784	0
LINC01138	DOID:9256	0
LINC01138	DOID:1115	0
LINC01138	DOID:10534	0
LINC01138	DOID:12930	0
LINC01138	DOID:2394	0
LINC01138	DOID:1540	0
LINC01138	DOID:1785	0
LINC01138	DOID:687	0
LINC01138	DOID:9352	0
LINC01138	DOID:3744	0
LINC01138	DOID:2841	0
LINC01138	DOID:0080208	0
MAPKAPK5-AS1	DOID:8649	0
MAPKAPK5-AS1	DOID:557	0
MAPKAPK5-AS1	DOID:3355	0
MAPKAPK5-AS1	DOID:9074	0
MAPKAPK5-AS1	DOID:8398	0
MAPKAPK5-AS1	DOID:11934	0
MAPKAPK5-AS1	DOID:707	0
MAPKAPK5-AS1	DOID:12449	0
MAPKAPK5-AS1	DOID:4074	0
MAPKAPK5-AS1	DOID:0050589	0
MAPKAPK5-AS1	DOID:13641	0
MAPKAPK5-AS1	DOID:0080001	0
MAPKAPK5-AS1	DOID:5419	0
MAPKAPK5-AS1	DOID:3962	0
MAPKAPK5-AS1	DOID:1993	0
MAPKAPK5-AS1	DOID:14250	0
MAPKAPK5-AS1	DOID:14004	0
MAPKAPK5-AS1	DOID:863	0
MAPKAPK5-AS1	DOID:11983	0
MAPKAPK5-AS1	DOID:11337	0
MAPKAPK5-AS1	DOID:1612	0
MAPKAPK5-AS1	DOID:7148	0
MAPKAPK5-AS1	DOID:1996	0
MAPKAPK5-AS1	DOID:635	0
MAPKAPK5-AS1	DOID:2129	0
MAPKAPK5-AS1	DOID:10591	0
MAPKAPK5-AS1	DOID:289	0
MAPKAPK5-AS1	DOID:3119	0
MAPKAPK5-AS1	DOID:684	1
MAPKAPK5-AS1	DOID:13378	0
MAPKAPK5-AS1	DOID:1686	0
MAPKAPK5-AS1	DOID:62	0
MAPKAPK5-AS1	DOID:9538	0
MAPKAPK5-AS1	DOID:114	0
MAPKAPK5-AS1	DOID:9970	0
MAPKAPK5-AS1	DOID:0060108	0
MAPKAPK5-AS1	DOID:8466	0
MAPKAPK5-AS1	DOID:4971	0
MAPKAPK5-AS1	DOID:2378	0
MAPKAPK5-AS1	DOID:769	0
MAPKAPK5-AS1	DOID:1909	0
MAPKAPK5-AS1	DOID:2870	0
MAPKAPK5-AS1	DOID:1883	0
MAPKAPK5-AS1	DOID:3369	0
MAPKAPK5-AS1	DOID:2316	0
MAPKAPK5-AS1	DOID:417	0
MAPKAPK5-AS1	DOID:1749	0
MAPKAPK5-AS1	DOID:9744	0
MAPKAPK5-AS1	DOID:409	0
MAPKAPK5-AS1	DOID:13922	0
MAPKAPK5-AS1	DOID:8947	0
MAPKAPK5-AS1	DOID:3973	0
MAPKAPK5-AS1	DOID:0050902	0
MAPKAPK5-AS1	DOID:4362	0
MAPKAPK5-AS1	DOID:4085	0
MAPKAPK5-AS1	DOID:5082	0
MAPKAPK5-AS1	DOID:11612	0
MAPKAPK5-AS1	DOID:10763	0
MAPKAPK5-AS1	DOID:418	0
MAPKAPK5-AS1	DOID:3371	0
MAPKAPK5-AS1	DOID:0080522	0
MAPKAPK5-AS1	DOID:4947	0
MAPKAPK5-AS1	DOID:0060250	0
MAPKAPK5-AS1	DOID:3070	0
MAPKAPK5-AS1	DOID:5517	0
MAPKAPK5-AS1	DOID:3247	0
MAPKAPK5-AS1	DOID:13001	0
MAPKAPK5-AS1	DOID:255	0
MAPKAPK5-AS1	DOID:7575	0
MAPKAPK5-AS1	DOID:8577	0
MAPKAPK5-AS1	DOID:3328	0
MAPKAPK5-AS1	DOID:3594	0
MAPKAPK5-AS1	DOID:0080638	0
MAPKAPK5-AS1	DOID:3717	0
MAPKAPK5-AS1	DOID:6432	0
MAPKAPK5-AS1	DOID:4450	0
MAPKAPK5-AS1	DOID:5844	0
MAPKAPK5-AS1	DOID:1936	0
MAPKAPK5-AS1	DOID:1596	0
MAPKAPK5-AS1	DOID:4195	0
MAPKAPK5-AS1	DOID:1932	0
MAPKAPK5-AS1	DOID:1240	0
MAPKAPK5-AS1	DOID:3565	0
MAPKAPK5-AS1	DOID:0002116	0
MAPKAPK5-AS1	DOID:9719	0
MAPKAPK5-AS1	DOID:1107	0
MAPKAPK5-AS1	DOID:824	0
MAPKAPK5-AS1	DOID:234	0
MAPKAPK5-AS1	DOID:9408	0
MAPKAPK5-AS1	DOID:11476	0
MAPKAPK5-AS1	DOID:7693	0
MAPKAPK5-AS1	DOID:2998	0
MAPKAPK5-AS1	DOID:332	0
MAPKAPK5-AS1	DOID:1380	0
MAPKAPK5-AS1	DOID:3302	0
MAPKAPK5-AS1	DOID:5041	0
MAPKAPK5-AS1	DOID:1319	0
MAPKAPK5-AS1	DOID:3347	0
MAPKAPK5-AS1	DOID:4905	0
MAPKAPK5-AS1	DOID:12894	0
MAPKAPK5-AS1	DOID:6039	0
MAPKAPK5-AS1	DOID:0060058	0
MAPKAPK5-AS1	DOID:3907	0
MAPKAPK5-AS1	DOID:3068	0
MAPKAPK5-AS1	DOID:2101	0
MAPKAPK5-AS1	DOID:10941	0
MAPKAPK5-AS1	DOID:9255	0
MAPKAPK5-AS1	DOID:11830	0
MAPKAPK5-AS1	DOID:8692	0
MAPKAPK5-AS1	DOID:9351	0
MAPKAPK5-AS1	DOID:1793	0
MAPKAPK5-AS1	DOID:5223	0
MAPKAPK5-AS1	DOID:331	0
MAPKAPK5-AS1	DOID:12205	0
MAPKAPK5-AS1	DOID:768	0
MAPKAPK5-AS1	DOID:8893	0
MAPKAPK5-AS1	DOID:3571	0
MAPKAPK5-AS1	DOID:0060060	0
MAPKAPK5-AS1	DOID:4914	0
MAPKAPK5-AS1	DOID:90	0
MAPKAPK5-AS1	DOID:11054	0
MAPKAPK5-AS1	DOID:305	0
MAPKAPK5-AS1	DOID:3121	0
MAPKAPK5-AS1	DOID:2671	0
MAPKAPK5-AS1	DOID:8584	0
MAPKAPK5-AS1	DOID:5520	0
MAPKAPK5-AS1	DOID:6713	0
MAPKAPK5-AS1	DOID:1289	0
MAPKAPK5-AS1	DOID:263	0
MAPKAPK5-AS1	DOID:8533	0
MAPKAPK5-AS1	DOID:4866	0
MAPKAPK5-AS1	DOID:9253	0
MAPKAPK5-AS1	DOID:1324	0
MAPKAPK5-AS1	DOID:5603	0
MAPKAPK5-AS1	DOID:2994	0
MAPKAPK5-AS1	DOID:8997	0
MAPKAPK5-AS1	DOID:1781	0
MAPKAPK5-AS1	DOID:585	0
MAPKAPK5-AS1	DOID:3083	0
MAPKAPK5-AS1	DOID:3908	0
MAPKAPK5-AS1	DOID:10283	0
MAPKAPK5-AS1	DOID:784	0
MAPKAPK5-AS1	DOID:9256	1
MAPKAPK5-AS1	DOID:1115	0
MAPKAPK5-AS1	DOID:10534	0
MAPKAPK5-AS1	DOID:12930	0
MAPKAPK5-AS1	DOID:2394	0
MAPKAPK5-AS1	DOID:1540	0
MAPKAPK5-AS1	DOID:1785	0
MAPKAPK5-AS1	DOID:687	0
MAPKAPK5-AS1	DOID:9352	0
MAPKAPK5-AS1	DOID:3744	0
MAPKAPK5-AS1	DOID:2841	0
MAPKAPK5-AS1	DOID:0080208	0
LINC01554	DOID:8649	0
LINC01554	DOID:557	0
LINC01554	DOID:3355	0
LINC01554	DOID:9074	0
LINC01554	DOID:8398	0
LINC01554	DOID:11934	0
LINC01554	DOID:707	0
LINC01554	DOID:12449	0
LINC01554	DOID:4074	0
LINC01554	DOID:0050589	0
LINC01554	DOID:13641	0
LINC01554	DOID:0080001	0
LINC01554	DOID:5419	0
LINC01554	DOID:3962	0
LINC01554	DOID:1993	0
LINC01554	DOID:14250	0
LINC01554	DOID:14004	0
LINC01554	DOID:863	0
LINC01554	DOID:11983	0
LINC01554	DOID:11337	0
LINC01554	DOID:1612	0
LINC01554	DOID:7148	0
LINC01554	DOID:1996	0
LINC01554	DOID:635	0
LINC01554	DOID:2129	0
LINC01554	DOID:10591	0
LINC01554	DOID:289	0
LINC01554	DOID:3119	0
LINC01554	DOID:684	1
LINC01554	DOID:13378	0
LINC01554	DOID:1686	0
LINC01554	DOID:62	0
LINC01554	DOID:9538	0
LINC01554	DOID:114	0
LINC01554	DOID:9970	0
LINC01554	DOID:0060108	0
LINC01554	DOID:8466	0
LINC01554	DOID:4971	0
LINC01554	DOID:2378	0
LINC01554	DOID:769	0
LINC01554	DOID:1909	0
LINC01554	DOID:2870	0
LINC01554	DOID:1883	0
LINC01554	DOID:3369	0
LINC01554	DOID:2316	0
LINC01554	DOID:417	0
LINC01554	DOID:1749	0
LINC01554	DOID:9744	0
LINC01554	DOID:409	0
LINC01554	DOID:13922	0
LINC01554	DOID:8947	0
LINC01554	DOID:3973	0
LINC01554	DOID:0050902	0
LINC01554	DOID:4362	0
LINC01554	DOID:4085	0
LINC01554	DOID:5082	0
LINC01554	DOID:11612	0
LINC01554	DOID:10763	0
LINC01554	DOID:418	0
LINC01554	DOID:3371	0
LINC01554	DOID:0080522	0
LINC01554	DOID:4947	0
LINC01554	DOID:0060250	0
